quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
4,2015,0.127,0.012,9.2,1.0,659,5979,0.037,0.146,0.016,1.014,0.034,0.102,0.186,0.511,0.585,0.549,0.668,0.875,0.009,0.207,0.365,0.226,0.1,-0.033,9.8,0.454,8.8,0.023,0.02,2015-10-01,MBB
3,2015,0.132,0.013,9.1,1.1,681,5861,0.038,0.221,0.017,0.904,0.037,0.106,0.195,0.394,0.581,0.547,0.651,0.891,0.009,0.231,0.478,0.28,0.1,-0.006,9.4,0.463,8.4,0.027,0.247,2015-07-01,MBB
2,2015,0.152,0.013,8.6,1.3,685,4702,0.038,0.172,0.02,0.801,0.037,0.087,0.16,0.361,0.575,0.542,0.648,0.887,0.011,0.172,0.507,0.359,0.1,0.05,11.5,0.461,10.5,0.022,0.037,2015-04-01,MBB
1,2015,0.15,0.013,8.2,1.2,653,4536,0.04,0.123,0.026,0.838,0.038,0.087,0.171,0.316,0.541,0.507,0.616,0.88,0.013,0.136,0.532,0.272,0.1,-0.003,11.5,0.495,10.5,0.024,0.035,2015-01-01,MBB
4,2014,0.156,0.013,,,655,4383,0.037,0.232,0.028,0.861,0.04,0.083,0.165,0.404,0.537,0.502,0.6,0.895,0.014,0.146,0.466,0.273,0.1,0.06,12.1,0.499,11.1,0.016,-0.015,2014-10-01,MBB
3,2014,0.147,0.013,,,618,4448,0.039,0.243,0.031,0.833,0.041,0.089,0.182,0.382,0.533,0.49,0.576,0.926,0.015,0.142,0.495,0.281,0.1,0.04,11.2,0.499,10.2,0.015,0.034,2014-07-01,MBB
2,2014,0.146,0.012,,,594,4302,0.037,0.163,0.031,0.622,0.041,0.086,0.172,0.354,0.542,0.501,0.6,0.903,0.015,0.186,0.508,0.31,0.1,-0.011,11.6,0.489,10.6,0.02,0.033,2014-04-01,MBB
1,2014,0.152,0.013,,,601,4166,0.036,0.217,0.027,0.864,0.044,0.086,0.179,0.358,0.518,0.482,0.607,0.853,0.013,0.195,0.504,0.347,0.1,0.002,11.6,0.518,10.6,0.018,0.04,2014-01-01,MBB
4,2013,0.162,0.013,,,600,4007,0.037,-0.039,0.024,0.902,0.047,0.084,0.173,0.439,0.527,0.486,0.645,0.818,0.012,0.178,0.48,0.305,0.1,0.06,11.9,0.503,10.9,0.016,0.011,2013-10-01,MBB
3,2013,0.149,0.013,,,566,3961,0.043,0.362,0.026,0.878,0.059,0.088,0.185,0.338,0.526,0.475,0.595,0.883,0.012,0.248,0.448,0.206,0.1,-0.053,11.4,0.498,10.3,0.03,0.038,2013-07-01,MBB
2,2013,0.165,0.014,,,597,3816,0.044,0.237,0.024,0.788,0.057,0.083,0.181,0.329,0.492,0.458,0.587,0.838,0.011,0.217,0.506,0.357,0.1,0.002,12.1,0.538,11.0,0.025,0.022,2013-04-01,MBB
1,2013,0.166,0.014,,,596,3732,0.045,0.152,0.024,0.954,0.062,0.083,0.191,0.334,0.462,0.432,0.592,0.78,0.01,0.201,0.502,0.34,0.1,-0.025,12.1,0.574,11.0,0.026,0.096,2013-01-01,MBB
4,2012,0.195,0.015,,,611,3404,0.045,0.251,0.018,0.957,0.065,0.073,0.173,0.393,0.452,0.424,0.633,0.715,0.008,0.261,0.451,0.114,0.1,-0.172,13.7,0.574,12.6,0.027,-0.058,2012-10-01,MBB
3,2012,0.234,0.021,,,738,3615,0.053,0.09,0.02,1.042,0.08,0.093,0.211,0.352,0.477,0.44,0.646,0.738,0.009,0.158,0.489,0.349,0.1,0.042,10.8,0.556,9.7,0.012,0.049,2012-07-01,MBB
2,2012,0.237,0.02,,,708,3446,0.049,0.153,0.029,0.591,0.082,0.086,0.199,0.338,0.475,0.434,0.654,0.726,0.013,0.21,0.497,0.399,0.1,0.158,11.6,0.551,10.5,0.015,-0.007,2012-04-01,MBB
